position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs,year
1,"Morikawa, Collin",-13,-6.0,2.019,0.147,0.912,0.701,1.76,3.779,289.425,0.69643,0.7083349999999999,29.122856603773585,44.040675,0.8000023333333333,3.5,1.25,1.613,2020
T2,"Johnson, Dustin",-11,-2.0,1.704,0.34,0.865,0.37,1.575,3.279,303.075,0.44643,0.6388900000000001,28.89839523809524,42.76306956521739,0.7058835294117647,5.0,2.0,1.235,2020
T2,"Casey, Paul",-11,-4.0,0.226,0.521,1.806,0.726,3.053,3.279,299.5,0.5892875,0.7638875,27.112698039215687,45.75473846153847,0.68,4.0,2.0,2.532,2020
T4,"Day, Jason",-10,-4.0,0.638,0.277,1.965,0.149,2.391,3.029,293.7,0.4464275,0.7638875,28.40287021276596,41.549136842105256,0.6818186363636363,2.0,1.5,2.114,2020
T4,"DeChambeau, Bryson",-10,-4.0,1.196,-0.328,0.333,1.828,1.833,3.029,318.65,0.5178575,0.6666650000000001,32.52133617021276,36.31466111111111,0.6578968421052631,6.5,3.0,2.161,2020
T4,"Scheffler, Scottie",-10,-2.0,1.198,0.696,0.172,0.964,1.831,3.029,295.65,0.6071425,0.7083349999999999,31.93406,52.732025,0.6428571428571428,4.25,1.75,1.135,2020
T4,"Finau, Tony",-10,-4.0,0.409,-0.052,1.897,0.775,2.62,3.029,300.1,0.42857,0.7222225,24.943131111111107,43.22367894736842,0.5862079310344828,4.5,2.0,2.672,2020
T4,"Wolff, Matthew",-10,-5.0,-0.498,-0.125,1.836,1.816,3.526,3.029,308.525,0.5892875,0.7777775,29.31117142857143,34.948364285714284,0.6666670833333334,4.5,3.0,3.652,2020
9,"Rose, Justin",-9,-3.0,1.78,0.164,1.021,-0.185,0.999,2.779,291.42499999999995,0.464285,0.65278,30.81493695652174,62.54800588235294,0.733336,5.25,3.0,0.836,2020
T10,"Dahmen, Joel",-8,-3.0,1.435,0.478,0.22,0.396,1.094,2.529,291.9578947368421,0.64286,0.6111125,30.149786206896557,70.69558571,0.7096787096774193,3.75,2.5,0.616,2020
T10,"Schauffele, Xander",-8,-3.0,0.779,0.597,-0.005,1.157,1.749,2.529,302.55,0.42857,0.6805575,32.700514893617026,68.52247777777778,0.6250018749999999,3.5,1.5,1.152,2020
T10,"Champ, Cameron",-8,0.0,0.469,0.47,0.015,1.575,2.06,2.529,320.6,0.5,0.73611,32.02413529411765,60.8787,0.6538473076923077,5.5,3.0,1.59,2020
T13,"Rahm, Jon",-7,-4.0,-0.096,0.837,0.435,1.102,2.374,2.279,303.775,0.607145,0.6805575,30.020197959183676,49.3759,0.7575760606060606,2.5,2.5,1.538,2020
T13,"Berger, Daniel",-7,-1.0,-0.06,0.57,0.29,1.478,2.338,2.279,299.6,0.6250025,0.6527775,33.01403396226415,62.50244545454546,0.656250625,3.5,3.25,1.769,2020
